1 | 1 | 950.50
2 | 1 | 120.00
3 | 2 | 3450.75
4 | 2 | 780.20
5 | 3 | 10.00
6 | 3 | 550.00
7 | 4 | 2200.00
8 | 4 | 100.00
9 | 5 | 45.99
10 | 5 | 8000.00
11 | 6 | 5.50
12 | 6 | 1500.00
13 | 7 | 120.00
14 | 7 | 300.00
15 | 8 | 900.00
16 | 8 | 150.00
17 | 9 | 25.00
18 | 9 | 700.00
19 | 10 | 1100.00
20 | 10 | 200.00
21 | 11 | 400.00
22 | 11 | 3200.00
23 | 12 | 50.00
24 | 12 | 850.00
25 | 13 | 1000.00
26 | 13 | 10.00
27 | 14 | 650.00
28 | 14 | 450.00
29 | 15 | 90.00
30 | 15 | 2100.00
31 | 16 | 30.00
32 | 16 | 600.00
33 | 17 | 1800.00
34 | 17 | 250.00
35 | 18 | 30.00
36 | 18 | 450.00
37 | 19 | 1300.00
38 | 19 | 75.00
39 | 20 | 100.00
40 | 20 | 500.00
41 | 21 | 15.00
42 | 21 | 200.00
43 | 22 | 90.00
44 | 22 | 110.00
45 | 23 | 5000.00
46 | 23 | 20.00
47 | 24 | 5.00
48 | 24 | 300.00
49 | 25 | 1200.00
50 | 25 | 25.0051
51 | 26 | 4313.0
52 | 26 | 34251.0
